gene,I,pval_norm,var_norm,pval_norm_fdr_bh
ISG15,0.5834225775373147,0.0,6.931356e-05,0.0
C1QA,0.5298513083057907,0.0,6.931356e-05,0.0
C1QB,0.5106732930267581,0.0,6.931356e-05,0.0
CD52,0.39812404213372693,0.0,6.931356e-05,0.0
C1QC,0.35052218881030295,0.0,6.931356e-05,0.0
PDZK1IP1,0.3349212409339769,0.0,6.931356e-05,0.0
COL11A1,0.2995223671373386,0.0,6.931356e-05,0.0
LAPTM5,0.2595384032462374,0.0,6.931356e-05,0.0
HSPG2,0.22245663923152376,0.0,6.931356e-05,0.0
ANGPTL7,0.17804993950609524,0.0,6.931356e-05,0.0
ID3,0.171967260574592,0.0,6.931356e-05,0.0
CCN1,0.16544869580392688,0.0,6.931356e-05,0.0
LCK,0.15365329006020173,0.0,6.931356e-05,0.0
TNFRSF4,0.13779267172891208,0.0,6.931356e-05,0.0
GBP5,0.13320265004294493,0.0,6.931356e-05,0.0
IFI44L,0.12933315981248894,0.0,6.931356e-05,0.0
MXRA8,0.12612098601893568,0.0,6.931356e-05,0.0
TNFRSF1B,0.1232692198896274,0.0,6.931356e-05,0.0
GBP1,0.11648425236243268,0.0,6.931356e-05,0.0
TNFRSF14,0.10606519467775875,0.0,6.931356e-05,0.0
PODN,0.09238843059307796,0.0,6.931356e-05,0.0
TINAGL1,0.08900594543554248,0.0,6.931356e-05,0.0
PALMD,0.08226841866508242,0.0,6.931356e-05,0.0
COL16A1,0.07772546056122398,0.0,6.931356e-05,0.0
PLA2G2A,0.06977061476282567,0.0,6.931356e-05,0.0
ADGRL4,0.0690767374377479,0.0,6.931356e-05,0.0
PDPN,0.06891928669876192,0.0,6.931356e-05,0.0
PIK3CD,0.06707831402668757,3.3306690738754696e-16,6.931356e-05,1.189524669241239e-15
SYNC,0.05284508113214751,9.3111074406238e-11,6.931356e-05,3.21072670366338e-10
MMP23B,0.0515371021959865,2.563163015167902e-10,6.931356e-05,8.54387671722634e-10
