cluster,spots,Epithelial/tumor,Lymphocyte,Plasma cell,Macrophage,Stroma/fibroblast,Endothelium,Adipocyte,assigned,margin,confidence,mean_n_genes
0,735,1.377,-0.713,-1.089,-0.916,-0.206,-0.75,-0.356,Epithelial/tumor,1.582,high,3621.0
1,491,1.149,-0.742,-1.184,-0.972,1.668,-0.826,-0.358,Stroma/fibroblast,0.518,medium,3766.0
2,486,0.041,0.198,1.342,0.569,0.165,0.53,0.098,Plasma cell,0.773,medium,1674.0
3,471,-0.138,-0.23,-0.106,-0.452,-0.563,-0.47,-0.309,Plasma cell,0.032,low,3469.0
4,440,-1.122,1.463,1.476,1.179,0.874,0.62,-0.152,Plasma cell,0.014,low,2803.0
5,396,0.953,-0.498,-0.555,-0.032,0.724,-0.181,-0.378,Epithelial/tumor,0.228,low,4507.0
6,361,-1.936,2.625,0.961,2.406,1.449,0.395,-0.172,Lymphocyte,0.218,low,3217.0
7,343,0.197,-0.669,-0.571,-0.709,-1.508,-0.584,-0.383,Epithelial/tumor,0.579,medium,4578.0
8,340,0.753,-0.784,-1.023,-0.806,-1.248,-0.724,-0.382,Epithelial/tumor,1.135,high,4378.0
9,211,0.072,-0.655,-0.337,-0.678,-0.435,-0.568,-0.375,Epithelial/tumor,0.408,medium,5278.0
10,203,-1.53,1.041,0.87,0.8,0.661,2.822,-0.038,Endothelium,1.781,high,2980.0
11,129,-0.895,0.16,1.68,0.873,0.533,1.186,3.566,Adipocyte,1.886,high,2113.0
12,126,0.035,-0.956,-0.889,-1.221,-1.54,-0.91,-0.403,Epithelial/tumor,0.438,medium,4843.0
13,93,1.045,-0.24,-0.576,-0.042,-0.575,-0.54,-0.359,Epithelial/tumor,1.087,high,4187.0
