cluster,Epithelial/tumor,Lymphocyte,Plasma cell,Macrophage,Stroma/fibroblast,Endothelium,Adipocyte
0,1.33,-0.112,0.047,-0.483,0.134,-0.258,-0.073
1,1.278,-0.116,-0.026,-0.514,0.71,-0.286,-0.073
2,1.027,0.019,1.938,0.339,0.248,0.215,0.098
3,0.986,-0.042,0.812,-0.226,0.024,-0.154,-0.055
4,0.763,0.2,2.042,0.678,0.466,0.248,0.004
5,1.233,-0.081,0.463,0.006,0.42,-0.048,-0.081
6,0.579,0.366,1.642,1.357,0.643,0.165,-0.004
7,1.062,-0.105,0.451,-0.369,-0.268,-0.196,-0.083
8,1.188,-0.122,0.099,-0.422,-0.187,-0.248,-0.082
9,1.034,-0.103,0.632,-0.351,0.063,-0.19,-0.08
10,0.671,0.14,1.571,0.467,0.4,1.061,0.046
11,0.815,0.013,2.201,0.508,0.361,0.457,1.396
12,1.026,-0.146,0.203,-0.652,-0.278,-0.317,-0.09
13,1.254,-0.044,0.447,0.001,0.02,-0.18,-0.074
