group,names,scores,logfoldchanges,pvals_adj
0,TCEAL4,36.53997,2.1167176,5.2044849056148205e-288
0,CXCL14,35.993828,3.204354,1.056543455313896e-279
0,GNG5,32.72801,1.7560824,4.2079045816463377e-231
0,CCND1,31.680391,1.536943,1.4632945154597086e-216
0,KRT18,31.311153,1.0108402,1.33075297160568e-211
0,MORF4L2,30.782469,1.6233351,1.5163040426227328e-204
0,MUC1,30.371832,1.4208492,3.73869771906819e-199
0,S100A11,29.986935,0.9326845,3.6728802768989724e-194
0,KRT8,29.934677,1.1156702,1.5652064259697885e-193
0,AGR2,27.856552,1.6359392,1.3959051603253973e-167
0,TTLL12,27.555922,2.1234562,5.429427891359458e-164
0,GALNT6,27.476227,1.5188806,4.5540793029002714e-163
0,GFRA1,27.389198,1.8077239,4.662195997912189e-162
0,TCEAL1,26.561798,1.7307454,1.997605971192381e-152
0,DEGS2,26.519678,1.5092751,5.813109454549516e-152
0,RPL14,26.030252,0.6658295,2.168532597337011e-146
0,TUBA1B,25.348764,0.8494235,8.1539012028019e-139
0,CACYBP,25.036272,1.3032317,2.0760496978157043e-135
0,RPS26,24.991966,0.6490787,6.047606395289637e-135
0,PPDPF,24.840227,0.9573095,2.470297502386432e-133
0,MT2A,24.751028,0.76480293,2.1830748000265987e-132
0,HINT1,24.395954,0.8877068,1.231708181383962e-128
0,TMA7,24.314161,0.8179201,8.510709985844613e-128
0,RPSA,24.243137,0.5592344,4.646674810498872e-127
0,S100A13,23.73309,0.8458374,8.743120221816279e-122
0,RPL8,23.718954,0.6154361,1.1920595211440919e-121
0,NPM1,23.693645,0.9220755,2.119987810879676e-121
0,HMGN2,23.632385,0.98557895,8.625966125325222e-121
0,S100A16,23.617876,1.1100593,1.1877520461785878e-120
0,UQCRQ,23.587578,0.66193485,2.323360866596642e-120
0,H3F3A,23.263824,0.7732595,4.254691237603653e-117
0,HSPB1,23.131239,0.63609815,9.084418155317101e-116
0,AQP3,23.12392,1.5207034,1.0552416488960912e-115
0,H2AFZ,23.049417,1.1229863,5.689091392971728e-115
0,RPLP1,23.040386,0.4662564,6.878223197125143e-115
0,GAS5,22.836075,1.0106794,7.259126823427496e-113
0,TXN,22.478743,0.88364786,2.377672502247308e-109
0,DNAJC1,22.295023,1.8572223,1.4156080159236786e-107
0,MAGED2,22.2479,0.86399776,3.984333186079456e-107
0,SREBF1,22.245872,1.5625955,4.100213593277119e-107
0,CPNE7,22.109089,1.492779,8.43043272866021e-106
0,RPS14,22.066566,0.38626605,2.126329054615888e-105
0,NUPR1,22.004387,0.82042044,8.26156663800283e-105
0,DEGS1,21.81979,1.4261247,4.684412513179759e-103
0,HSPA1A,21.803425,0.9600378,6.597278363028466e-103
0,IFITM3,21.783552,0.5641694,1.0030552105581947e-102
0,RPL17,21.645948,0.47586524,1.9738333069470857e-101
0,LAGE3,21.558432,1.2177703,1.2935517391522947e-100
0,SPAG6,21.46962,2.8459942,8.652126469568417e-100
0,PSMB4,21.117739,0.9265109,1.5350839976811076e-96
1,FN1,31.16243,2.3128557,6.961418346548107e-209
1,GAPDH,30.984491,1.0316622,8.819808124629963e-207
1,SPP1,30.197048,3.2371328,1.7458782672170915e-196
1,MUC1,29.844637,1.7159185,5.2102163438276396e-192
1,S100A16,29.769827,1.6683722,3.885567578854478e-191
1,PGK1,29.642735,1.9322352,1.4183612807859504e-189
1,MIF,29.365664,0.92271614,4.356779186820001e-186
1,S100A13,29.071363,1.3194339,2.0894639141156972e-182
1,TPI1,28.889254,1.3962284,3.6613966989874555e-180
1,ENO1,28.111433,1.5745279,1.436190616870298e-170
1,S100A11,27.441648,1.0369853,1.6069573843565946e-162
1,LDHA,27.297995,1.6526185,7.551763757652705e-161
1,KRT8,27.042065,1.2074045,7.366756539692e-158
1,RPL8,26.90841,0.83245397,2.529555085463225e-156
1,MMP11,26.655369,2.3002264,2.0909576753631214e-153
1,COL1A2,26.542154,1.7854581,3.764007163984202e-152
1,S100A6,26.193008,1.1583283,3.5870717439664184e-148
1,COL3A1,25.765873,1.8953125,2.2783947494537002e-143
1,COL1A1,25.741022,1.6986755,4.108846056389271e-143
1,HSPB1,25.653103,0.9052804,3.760071473557735e-142
1,LY6E,25.058298,1.0919065,1.3032588547875718e-135
1,KRT18,24.840586,0.96190965,2.874117025969776e-133
1,AQP3,24.139114,1.8034599,8.18729067222968e-126
1,CCND1,23.906088,1.4192961,2.1416407756196673e-123
1,AEBP1,23.755358,1.6699399,7.523910285323669e-122
1,SREBF1,23.609259,1.8814794,2.236493113246624e-120
1,CRAT,23.520006,2.175262,1.775710447284057e-119
1,MORF4L2,23.353552,1.4750571,8.55018905182836e-118
1,ALDOA,23.153872,2.0388641,8.66998493712722e-116
1,DEGS2,23.104681,1.6013483,2.6257591539055064e-115
1,MT2A,22.706055,0.8708433,2.3923668280515393e-111
1,COMP,22.509161,2.0576265,2.008234612023534e-109
1,PTMS,22.358173,1.0002618,5.809975534865233e-108
1,PPDPF,22.024359,1.0315169,9.453801870043247e-105
1,CRIP1,22.022085,0.6669216,9.671500771702476e-105
1,COL11A1,21.638601,2.8618102,3.9351528659654594e-101
1,FXYD3,21.619356,1.0375472,5.826374825882666e-101
1,CPNE7,21.270655,1.6576064,9.541566148015717e-98
1,GRINA,21.126095,1.0859127,2.0132377071246503e-96
1,RARRES2,21.093176,1.6873113,3.953830453894066e-96
1,S100A10,21.067522,1.3026716,6.656856965723845e-96
1,HSPA1A,21.024605,1.1103872,1.612370117700984e-95
1,PKM,20.923576,1.0428296,1.321394663336832e-94
1,CXCL14,20.920055,2.1109235,1.3890934448201263e-94
1,SERHL2,20.918911,1.6270964,1.3890934448201263e-94
1,GALNT6,20.918415,1.3964002,1.3890934448201263e-94
1,GDF15,20.80139,1.9379497,1.5747682150210023e-93
1,DNAJC1,20.601059,1.9457703,9.873820727406183e-92
1,SDC1,20.366716,1.3374206,1.1510239682242189e-89
1,ASCL2,20.29406,1.9078313,4.9740958220563616e-89
2,MT-CO2,28.12023,1.2092807,1.1211719968511473e-169
2,ISG15,26.60821,1.3386856,5.515886802811549e-152
2,IGHG3,26.213657,2.8594534,1.2518470737893364e-147
2,IGKC,25.798862,2.6763768,4.617041771793865e-143
2,MT-CO3,24.83149,1.0147531,1.6578033070945502e-132
2,IGLC2,24.305628,2.9433265,5.7619604992589704e-127
2,MT-ND1,23.711636,1.284175,7.902551436802042e-121
2,IGHG4,23.539238,1.9097925,4.090723313333843e-119
2,MT-ND4,22.905106,0.99873173,9.286692729510244e-113
2,ADIRF,22.01271,0.9360209,4.400618905794425e-104
2,H2AFJ,21.971487,1.2313249,9.923402494502629e-104
2,MT-ND3,21.841516,1.0892682,1.4561741713472973e-102
2,MT-ND2,21.211933,1.0857542,1.0705578648860344e-96
2,MALAT1,20.741577,1.167387,1.9693054246226856e-92
2,MT-ATP6,20.604189,0.90258837,3.181660078035801e-91
2,IGHG1,20.453836,1.8870718,6.606553681989057e-90
2,MT-CYB,19.853716,0.7833365,1.0894302500961742e-84
2,KRT19,18.852022,0.61792344,2.487008718436095e-76
2,IFI27,18.265362,0.7325744,1.0891780959826272e-71
2,HLA-A,17.578228,0.65111923,2.1516438438278555e-66
2,SERPINA3,17.23125,1.2237129,8.237209288364411e-64
2,MT-CO1,16.727211,0.6910648,3.9056246931362895e-60
2,MGP,16.627491,1.4555478,2.0255461474312147e-59
2,IFI6,16.54041,0.70234114,8.25468415950988e-59
2,LGALS3BP,16.495338,0.6289481,1.6358769144711418e-58
2,IGFBP4,16.297806,0.7613088,3.903809920455438e-57
2,IGLC3,16.086863,2.08599,1.1191933394195963e-55
2,MCCD1,15.885483,1.7543635,2.6484818801585384e-54
2,IGHA1,15.421721,1.6302453,3.37886312640646e-51
2,RPL36,15.012713,0.4509215,1.477070479663139e-48
2,RPS18,15.008146,0.4377351,1.563519718165148e-48
2,HIST1H1C,14.957153,0.59977335,3.289688535464938e-48
2,RPS9,14.452392,0.51314664,4.801076276011549e-45
2,IGLC1,14.411048,1.7937436,8.65886906087932e-45
