gene,moranI,top_cluster,mean_expr,assigned_lineage
ISG15,0.5834,2,3.492,Plasma cell
C1QA,0.5299,6,2.775,Lymphocyte
C1QB,0.5107,6,2.756,Lymphocyte
CD52,0.3981,6,1.47,Lymphocyte
C1QC,0.3505,6,1.938,Lymphocyte
PDZK1IP1,0.3349,1,0.676,Stroma/fibroblast
COL11A1,0.2995,1,0.805,Stroma/fibroblast
LAPTM5,0.2595,6,1.913,Lymphocyte
HSPG2,0.2225,10,1.656,Endothelium
ANGPTL7,0.178,10,0.048,Endothelium
ID3,0.172,10,1.163,Endothelium
CCN1,0.1654,10,0.744,Endothelium
LCK,0.1537,6,0.498,Lymphocyte
TNFRSF4,0.1378,6,0.49,Lymphocyte
GBP5,0.1332,6,0.406,Lymphocyte
